Clonal	Subclonal
AK1	A1BG
AKAP5	A4GNT
AMD1	AADAT
AMMECR1	AAGAB
APLN	AAK1
ARHGAP11B	AAMP
ARMCX1	AARD
ARPC3	AASDH
ASB13	AASDHPPT
ASB9	AATK
ATF3	ABCB6
ATP1B1	ABCF2
ATP6V0C	ABHD10
BCL2	ABHD13
BEX5	ABHD14B
BUD31	ABHD15
C17orf100	ABHD16B
C4orf46	ABHD2
C8G	ABHD4
C8orf82	ABHD6
C9orf72	ABT1
CAAP1	ACAA1
CASP6	ACAA2
CBWD6	ACADL
CCL27	ACADVL
CCNA2	ACAP3
CCNO	ACAT2
CD99L2	ACCS
CDKL1	ACER1
CDKN3	ACER3
CDRT4	ACO2
CFDP1	ACOT2
CHIC1	ACP1
CLDN20	ACP5
CLEC11A	ACPP
CLIC3	ACRV1
COG3	ACSBG1
CRABP1	ACSBG2
CT47A6	ACSS1
CTDSP2	ACTA1
CTF1	ACTB
CXorf65	ACTN4
DBI	ACTR10
DCUN1D5	ACTR1A
DDIT4	ACTR1B
DEC1	ACTR2
DESI1	ACTR3
DNAJA1	ACTR3C
DNAJB1	ACTR5
DNAJC24	ACTR6
DNAL4	ACTR8
E2F5	ACVR2A
EBF4	ACY1
EIF2S3	ACYP1
EXOSC6	ADAM10
EXTL2	ADAM17
FADS1	ADAM8
FAM120AOS	ADAM9
FAM173A	ADAT3
FAM219A	ADCK5
FAM219B	ADCYAP1
FAM43A	ADH5
FAM43B	ADH6
FAM50A	ADI1
FAM89B	ADIPOR1
FAM9B	ADM2
FEM1C	ADNP
FEZ1	ADO
FJX1	ADPGK
FOLR2	ADPRH
FOPNL	ADPRHL2
FOXP3	ADRA1A
FTSJ1	ADRA1B
GFRA4	ADRA1D
GJB1	ADRA2B
GLOD5	ADRA2C
GMNN	ADRB2
GOLGA6L1	ADRB3
GPAA1	ADRM1
GPR143	ADSL
GPR82	AEBP1
GTF2H5	AEBP2
H2BFM	AFP
HADH	AFTPH
HAUS7	AGAP2
HDDC2	AGAP4
HINT3	AGAP5
HIST1H2AH	AGAP8
HMGN3	AGER
HOXB4	AGFG1
HOXD11	AGMO
IAH1	AGPAT1
IDH2	AGPAT2
IFI27L1	AGPAT5
IFI6	AGR2
IFNGR1	AGR3
IFT20	AGRP
IGFBP4	AGTRAP
IGFLR1	AHCY
IL21R	AIF1
ILK	AIF1L
IRF1	AIMP1
KCNK7	AIPL1
KIAA1143	AK4
KISS1	AKAP10
KISS1R	AKAP14
LCAT	AKIP1
LCN1	AKR1C2
LIPM	AKR1C3
LOR	AKR7A3
LRRC26	AKT1S1
MAF	AKT3
MANBAL	AKTIP
MAP1LC3B	ALCAM
MAT2B	ALDH1A3
MED22	ALDH3A2
MFSD10	ALDH3B2
MGAT4B	ALDH5A1
MINPP1	ALDOA
MMADHC	ALG10
MOB1B	ALG12
MRPL13	ALK
MRPL50	ALKBH1
MRTO4	ALKBH3
MTCP1	ALKBH5
MTMR1	ALKBH6
MYL6	ALPL
NEURL2	ALS2CR12
NKX2-8	ALX1
NKX6-3	ALYREF
NME4	AMACR
NMRK1	AMFR
NPPC	AMMECR1L
OR4F21	AMN1
ORC6	AMPD3
OSGEP	AMT
PDCD6	AMTN
PDHB	AMY2B
PEX12	AMZ2
PGGT1B	ANAPC11
PHF6	ANAPC16
PHOX2A	ANAPC5
PIR	ANG
PITX3	ANGEL2
PLCXD1	ANGPT1
PLD6	ANGPT2
PLIN2	ANGPTL1
PLSCR1	ANKFY1
POLR2J	ANKH
PPA1	ANKMY2
PRDX4	ANKRA2
PRKAR1A	ANKRD10
PRKAR2A	ANKRD13B
PRR18	ANKRD16
PSMB5	ANKRD20A4
PSMB9	ANKRD27
PSMD10	ANKRD34A
PSTK	ANKRD36C
PTCH1	ANKRD39
PTGR2	ANKRD54
PTX3	ANKRD7
RAB36	ANKS3
RAET1L	ANKZF1
RANGRF	ANO6
RBM34	ANTXR2
RBM4B	ANXA13
RBM8A	ANXA2
RELT	ANXA2R
RFNG	ANXA4
RLN2	ANXA5
RNF167	AP1B1
RNF170	AP1G1
RPL28	AP1S1
RPL9	AP1S3
RPP38	AP2B1
RPS4X	AP2M1
RRAGA	AP2S1
RSL24D1	AP3B1
RSRC2	AP3M1
RSU1	AP3M2
S100G	AP3S1
SAC3D1	AP4M1
SAMD5	AP4S1
SCML1	AP5M1
SCOC	AP5Z1
SDHD	APBA3
SESN3	APBB1
SFT2D1	APBB3
SGCB	APEX1
SH2D6	API5
SIGMAR1	APLF
SKOR2	APLP2
SLC23A3	APOA1
SLC25A43	APOA2
SLC35A2	APOBEC3B
SLC35G6	APOBEC3H
SLC9A3R2	APOBEC4
SNRPE	APOE
SNRPN	APOF
SNX12	APOL1
SNX7	APOL6
SOD3	APOOL
SOX12	APPBP2
SPANXN4	APPL1
SPIN4	APPL2
SPINK14	APRT
SRP19	AQP11
SRSF1	AQP12A
STX3	AQP4
SUMO2	AQP5
SUN2	AQP7
SYAP1	ARAF
TACO1	ARCN1
TAF5	AREG
TAX1BP3	ARF3
TCEANC	ARF4
TCTEX1D2	ARF5
TEX12	ARFGAP1
TFAM	ARFGAP3
TIMP1	ARFIP1
TIRAP	ARFIP2
TMBIM6	ARFRP1
TMEM106A	ARG1
TMEM167A	ARG2
TMEM179B	ARGFX
TMEM185A	ARHGAP1
TMEM70	ARHGAP15
TMEM86B	ARHGAP26
TMEM95	ARHGAP35
TNFSF12-TNFSF13	ARHGAP9
TP53AIP1	ARHGDIB
TPRG1L	ARHGDIG
TRADD	ARHGEF1
TRAPPC5	ARHGEF2
TRIB2	ARHGEF37
TRUB2	ARHGEF38
TSPAN19	ARHGEF7
TSPAN6	ARIH1
TTC32	ARL1
TUBA1C	ARL11
UBE2J1	ARL13A
UBOX5	ARL13B
UROD	ARL14
USP14	ARL15
USP35	ARL2
VCX2	ARL4C
WDR26	ARL4D
WDR45	ARL5A
YPEL3	ARL5B
ZAR1	ARL6
ZFY	ARL6IP1
ZMAT3	ARL6IP5
ZNF547	ARL6IP6
ZP2	ARL8B
ZRSR2	ARMC10
NA	ARMC2
NA	ARMC6
NA	ARMC8
NA	ARMCX3
NA	ARMCX6
NA	ARMS2
NA	ARNTL
NA	ARPC1A
NA	ARPC5
NA	ARPP19
NA	ARRB1
NA	ARRDC1
NA	ARRDC2
NA	ARRDC3
NA	ARSB
NA	ARSG
NA	ART4
NA	ART5
NA	ASAH1
NA	ASAH2B
NA	ASB1
NA	ASB14
NA	ASB16
NA	ASB18
NA	ASB2
NA	ASB6
NA	ASB7
NA	ASCL3
NA	ASCL4
NA	ASIC3
NA	ASNSD1
NA	ASPDH
NA	ASPH
NA	ASPHD1
NA	ASPRV1
NA	ASRGL1
NA	ASTL
NA	ATAD1
NA	ATAD2
NA	ATAT1
NA	ATF2
NA	ATF6
NA	ATF7
NA	ATG10
NA	ATG16L1
NA	ATG16L2
NA	ATG3
NA	ATG4C
NA	ATG4D
NA	ATIC
NA	ATL2
NA	ATOH7
NA	ATOH8
NA	ATP11B
NA	ATP13A1
NA	ATP6AP1L
NA	ATP6V0D1
NA	ATP6V0E1
NA	ATP6V1A
NA	ATP6V1C1
NA	ATP6V1D
NA	ATP6V1E1
NA	ATP6V1F
NA	ATP6V1G1
NA	ATP6V1G2
NA	ATP9B
NA	ATPAF1
NA	ATPAF2
NA	ATXN10
NA	ATXN3
NA	ATXN7
NA	ATXN7L1
NA	AURKA
NA	AURKB
NA	AURKC
NA	AVEN
NA	AVL9
NA	AVP
NA	AVPI1
NA	AZI2
NA	AZIN1
NA	B2M
NA	B3GALNT1
NA	B3GALNT2
NA	B3GALT1
NA	B3GALT2
NA	B3GALT5
NA	B3GALT6
NA	B3GNT2
NA	B3GNT4
NA	B3GNT5
NA	B3GNT6
NA	B3GNT7
NA	B3GNT8
NA	B3GNT9
NA	B3GNTL1
NA	B4GALNT1
NA	B4GALT1
NA	B4GALT2
NA	B4GALT6
NA	B9D2
NA	BAG1
NA	BAG2
NA	BAG3
NA	BAG5
NA	BAG6
NA	BAHD1
NA	BAIAP2L2
NA	BAK1
NA	BAMBI
NA	BANF1
NA	BANF2
NA	BAP1
NA	BARX1
NA	BASP1
NA	BATF
NA	BATF2
NA	BAZ2A
NA	BBC3
NA	BBS4
NA	BBX
NA	BCAP29
NA	BCAS2
NA	BCCIP
NA	BCDIN3D
NA	BCHE
NA	BCKDK
NA	BCL10
NA	BCL2A1
NA	BCL2L1
NA	BCL2L10
NA	BCL2L13
NA	BCL2L14
NA	BCL2L15
NA	BCL2L2-PABPN1
NA	BCL6
NA	BCL7A
NA	BCL7B
NA	BCL7C
NA	BCR
NA	BDH2
NA	BDKRB2
NA	BECN1
NA	BEND5
NA	BEND6
NA	BEST4
NA	BET1
NA	BET1L
NA	BEX2
NA	BFAR
NA	BFSP2
NA	BHLHE40
NA	BHMT2
NA	BID
NA	BIN3
NA	BIRC7
NA	BLCAP
NA	BLM
NA	BLMH
NA	BLOC1S3
NA	BLVRA
NA	BLVRB
NA	BLZF1
NA	BMF
NA	BMP4
NA	BMP6
NA	BMP8B
NA	BMPR1A
NA	BNIP1
NA	BNIP2
NA	BNIP3L
NA	BNIPL
NA	BOD1
NA	BOD1L2
NA	BOK
NA	BOLA1
NA	BOP1
NA	BPGM
NA	BPHL
NA	BPIFA3
NA	BPNT1
NA	BRD2
NA	BRD4
NA	BRI3BP
NA	BRMS1L
NA	BROX
NA	BRSK1
NA	BSCL2
NA	BSG
NA	BST1
NA	BST2
NA	BSX
NA	BTBD10
NA	BTBD2
NA	BTBD6
NA	BTD
NA	BTG1
NA	BTG2
NA	BTG3
NA	BTG4
NA	BTLA
NA	BTN2A1
NA	BTN2A2
NA	BTN3A1
NA	BTN3A2
NA	BTNL2
NA	BZW1
NA	C10orf111
NA	C10orf25
NA	C10orf62
NA	C10orf90
NA	C11orf1
NA	C11orf42
NA	C11orf45
NA	C11orf52
NA	C11orf71
NA	C11orf74
NA	C11orf80
NA	C11orf87
NA	C11orf88
NA	C12orf10
NA	C12orf4
NA	C12orf43
NA	C12orf49
NA	C12orf60
NA	C12orf71
NA	C12orf76
NA	C14orf119
NA	C14orf93
NA	C15orf32
NA	C15orf38-AP3S2
NA	C15orf39
NA	C15orf40
NA	C15orf48
NA	C15orf53
NA	C15orf54
NA	C16orf45
NA	C16orf54
NA	C16orf70
NA	C16orf72
NA	C16orf90
NA	C16orf91
NA	C17orf102
NA	C17orf49
NA	C17orf58
NA	C17orf67
NA	C17orf75
NA	C17orf78
NA	C17orf80
NA	C17orf82
NA	C17orf98
NA	C18orf21
NA	C18orf25
NA	C19orf12
NA	C19orf33
NA	C19orf44
NA	C19orf47
NA	C19orf53
NA	C19orf54
NA	C1D
NA	C1GALT1
NA	C1orf100
NA	C1orf112
NA	C1orf115
NA	C1orf141
NA	C1orf146
NA	C1orf162
NA	C1orf174
NA	C1orf189
NA	C1orf194
NA	C1orf216
NA	C1orf43
NA	C1orf50
NA	C1orf52
NA	C1orf53
NA	C1orf56
NA	C1orf61
NA	C1orf74
NA	C1orf87
NA	C1QBP
NA	C1QL1
NA	C1QL2
NA	C1QTNF3
NA	C1QTNF4
NA	C1QTNF6
NA	C20orf141
NA	C20orf144
NA	C20orf197
NA	C20orf27
NA	C20orf85
NA	C20orf96
NA	C21orf58
NA	C21orf62
NA	C21orf91
NA	C22orf15
NA	C22orf23
NA	C22orf24
NA	C2orf27B
NA	C2orf40
NA	C2orf42
NA	C2orf50
NA	C2orf66
NA	C2orf70
NA	C2orf73
NA	C2orf76
NA	C2orf80
NA	C3orf18
NA	C3orf22
NA	C3orf33
NA	C3orf35
NA	C3orf52
NA	C3orf62
NA	C3orf70
NA	C3orf79
NA	C4BPB
NA	C4orf19
NA	C4orf33
NA	C4orf36
NA	C4orf51
NA	C5orf15
NA	C5orf24
NA	C5orf38
NA	C5orf46
NA	C5orf49
NA	C5orf51
NA	C5orf58
NA	C5orf64
NA	C6orf136
NA	C6orf15
NA	C6orf201
NA	C6orf223
NA	C6orf47
NA	C6orf48
NA	C6orf62
NA	C6orf89
NA	C7orf26
NA	C7orf33
NA	C7orf43
NA	C7orf50
NA	C7orf57
NA	C7orf61
NA	C7orf65
NA	C7orf66
NA	C7orf69
NA	C8orf31
NA	C8orf33
NA	C8orf37
NA	C8orf44
NA	C8orf76
NA	C8orf86
NA	C9
NA	C9orf163
NA	C9orf170
NA	C9orf40
NA	C9orf47
NA	C9orf50
NA	CA11
NA	CA12
NA	CA14
NA	CA3
NA	CA5A
NA	CAB39
NA	CAB39L
NA	CABLES1
NA	CABLES2
NA	CABP1
NA	CABP2
NA	CABP5
NA	CABS1
NA	CABYR
NA	CACNB3
NA	CACNG7
NA	CACYBP
NA	CALB1
NA	CALCA
NA	CALCB
NA	CALHM1
NA	CALM1
NA	CALM2
NA	CALML4
NA	CAMK1G
NA	CAMK2B
NA	CAMK2D
NA	CAMK2N1
NA	CAMKMT
NA	CAMP
NA	CAND1
NA	CAND2
NA	CAPG
NA	CAPN1
NA	CAPN2
NA	CAPN7
NA	CAPNS1
NA	CAPNS2
NA	CAPS
NA	CAPSL
NA	CAPZA1
NA	CAPZA2
NA	CAPZB
NA	CARM1
NA	CARS2
NA	CARTPT
NA	CASC4
NA	CASD1
NA	CASP1
NA	CASP10
NA	CASP14
NA	CASP2
NA	CASP7
NA	CASP8
NA	CASP9
NA	CAST
NA	CATSPER3
NA	CAV3
NA	CBFA2T2
NA	CBFB
NA	CBLL1
NA	CBLN1
NA	CBLN3
NA	CBLN4
NA	CBR3
NA	CBR4
NA	CBWD1
NA	CBX3
NA	CBX5
NA	CBX7
NA	CBY1
NA	CC2D2A
NA	CCBE1
NA	CCDC103
NA	CCDC106
NA	CCDC115
NA	CCDC117
NA	CCDC121
NA	CCDC122
NA	CCDC124
NA	CCDC125
NA	CCDC126
NA	CCDC134
NA	CCDC137
NA	CCDC140
NA	CCDC144NL
NA	CCDC148
NA	CCDC15
NA	CCDC151
NA	CCDC18
NA	CCDC24
NA	CCDC36
NA	CCDC47
NA	CCDC51
NA	CCDC59
NA	CCDC65
NA	CCDC69
NA	CCDC71
NA	CCDC82
NA	CCDC84
NA	CCDC85B
NA	CCDC92
NA	CCDC96
NA	CCDC97
NA	CCL11
NA	CCL13
NA	CCL14
NA	CCL15
NA	CCL16
NA	CCL2
NA	CCL20
NA	CCL22
NA	CCL23
NA	CCL24
NA	CCL26
NA	CCL7
NA	CCNB1IP1
NA	CCNC
NA	CCND2
NA	CCND3
NA	CCNF
NA	CCNG1
NA	CCNG2
NA	CCNH
NA	CCNI
NA	CCNI2
NA	CCNL1
NA	CCNT1
NA	CCNYL1
NA	CCPG1
NA	CCR10
NA	CCR3
NA	CCR5
NA	CCS
NA	CCT2
NA	CCT5
NA	CCT6A
NA	CCT7
NA	CCT8
NA	CCZ1
NA	CD151
NA	CD160
NA	CD164
NA	CD164L2
NA	CD200
NA	CD200R1
NA	CD209
NA	CD2BP2
NA	CD300LB
NA	CD320
NA	CD34
NA	CD37
NA	CD38
NA	CD3EAP
NA	CD3G
NA	CD40
NA	CD44
NA	CD48
NA	CD52
NA	CD55
NA	CD59
NA	CD68
NA	CD69
NA	CD7
NA	CD70
NA	CD74
NA	CD79A
NA	CD79B
NA	CD81
NA	CD99
NA	CDADC1
NA	CDC123
NA	CDC16
NA	CDC20
NA	CDC20B
NA	CDC25A
NA	CDC25B
NA	CDC27
NA	CDC34
NA	CDC37
NA	CDC42
NA	CDC73
NA	CDCA4
NA	CDCA5
NA	CDCA7L
NA	CDCA8
NA	CDH24
NA	CDH3
NA	CDIPT
NA	CDK10
NA	CDK15
NA	CDK16
NA	CDK19
NA	CDK2AP1
NA	CDK2AP2
NA	CDK5R1
NA	CDKL2
NA	CDKL4
NA	CDKN1C
NA	CDKN2AIP
NA	CDKN2B
NA	CDKN2C
NA	CDR2
NA	CDR2L
NA	CDRT15
NA	CDT1
NA	CDX1
NA	CDYL
NA	CEACAM1
NA	CEACAM4
NA	CEACAM8
NA	CEBPA
NA	CEBPG
NA	CEBPZ
NA	CECR2
NA	CELA2B
NA	CELF2
NA	CELF3
NA	CELF6
NA	CEND1
NA	CENPA
NA	CENPB
NA	CENPH
NA	CENPK
NA	CENPL
NA	CENPM
NA	CENPN
NA	CENPO
NA	CENPQ
NA	CENPV
NA	CEP112
NA	CEP44
NA	CEP57
NA	CEP68
NA	CEP70
NA	CEP89
NA	CEP95
NA	CEPT1
NA	CERK
NA	CERS2
NA	CERS4
NA	CERS5
NA	CFI
NA	CGA
NA	CGB1
NA	CGGBP1
NA	CGREF1
NA	CHAC1
NA	CHAC2
NA	CHAF1B
NA	CHAMP1
NA	CHCHD10
NA	CHCHD3
NA	CHCHD4
NA	CHCHD5
NA	CHCHD6
NA	CHCHD7
NA	CHD1L
NA	CHEK1
NA	CHEK2
NA	CHERP
NA	CHFR
NA	CHI3L1
NA	CHI3L2
NA	CHIC2
NA	CHID1
NA	CHKB
NA	CHML
NA	CHMP1A
NA	CHMP1B
NA	CHMP2B
NA	CHMP5
NA	CHMP7
NA	CHORDC1
NA	CHP1
NA	CHPF
NA	CHPT1
NA	CHRAC1
NA	CHRFAM7A
NA	CHRNA7
NA	CHRNB1
NA	CHRNE
NA	CHRNG
NA	CHST14
NA	CHST6
NA	CHST9
NA	CIAO1
NA	CIAPIN1
NA	CIB1
NA	CIB4
NA	CIITA
NA	CINP
NA	CIR1
NA	CIRBP
NA	CITED1
NA	CITED2
NA	CIZ1
NA	CKAP2
NA	CKAP2L
NA	CKAP4
NA	CKM
NA	CKMT1A
NA	CKMT1B
NA	CKS1B
NA	CKS2
NA	CLASRP
NA	CLC
NA	CLCF1
NA	CLCN6
NA	CLDN1
NA	CLDN11
NA	CLDN12
NA	CLDN14
NA	CLDN16
NA	CLDN18
NA	CLDN22
NA	CLDN25
NA	CLDN3
NA	CLDN8
NA	CLDN9
NA	CLDND1
NA	CLDND2
NA	CLEC10A
NA	CLEC12A
NA	CLEC18A
NA	CLEC18B
NA	CLEC2B
NA	CLEC4A
NA	CLEC4D
NA	CLEC4G
NA	CLEC9A
NA	CLECL1
NA	CLIC4
NA	CLINT1
NA	CLIP2
NA	CLIP3
NA	CLK3
NA	CLLU1
NA	CLN5
NA	CLN6
NA	CLN8
NA	CLNK
NA	CLNS1A
NA	CLOCK
NA	CLPP
NA	CLPS
NA	CLPSL1
NA	CLPSL2
NA	CLPTM1L
NA	CLPX
NA	CLSPN
NA	CLSTN1
NA	CLTA
NA	CLTB
NA	CMBL
NA	CMTM1
NA	CMTM2
NA	CMTM4
NA	CMTM5
NA	CMTM6
NA	CMTM7
NA	CMTM8
NA	CNIH2
NA	CNKSR3
NA	CNN1
NA	CNN3
NA	CNNM3
NA	CNOT2
NA	CNOT8
NA	CNPPD1
NA	CNPY2
NA	CNPY4
NA	CNRIP1
NA	CNTD2
NA	CNTFR
NA	COA5
NA	COASY
NA	COG1
NA	COIL
NA	COL8A1
NA	COL9A2
NA	COLEC11
NA	COMMD1
NA	COMMD10
NA	COMMD3-BMI1
NA	COMMD4
NA	COMMD5
NA	COMMD6
NA	COMMD8
NA	COMMD9
NA	COMTD1
NA	COPB2
NA	COPE
NA	COPG1
NA	COPG2
NA	COPS2
NA	COPS4
NA	COPS6
NA	COPS8
NA	COQ10A
NA	COQ10B
NA	COQ2
NA	COQ3
NA	COQ5
NA	COQ6
NA	COQ7
NA	COQ9
NA	CORO1B
NA	COTL1
NA	COX11
NA	COX18
NA	COX19
NA	COX20
NA	COX4I1
NA	COX6A1
NA	COX6B1
NA	COX6B2
NA	COX6C
NA	COX7A2
NA	COX7B
NA	COX8A
NA	COX8C
NA	CPA2
NA	CPB1
NA	CPB2
NA	CPEB1
NA	CPEB4
NA	CPLX1
NA	CPLX3
NA	CPLX4
NA	CPNE1
NA	CPNE3
NA	CPNE6
NA	CPNE8
NA	CPO
NA	CPOX
NA	CPQ
NA	CPSF2
NA	CPSF3
NA	CPSF4
NA	CPSF7
NA	CPT1B
NA	CPT2
NA	CRABP2
NA	CREB3L3
NA	CREBRF
NA	CREBZF
NA	CREG2
NA	CRELD1
NA	CRELD2
NA	CREM
NA	CRIP1
NA	CRIP2
NA	CRIP3
NA	CRIPT
NA	CRISPLD1
NA	CRK
NA	CRLF1
NA	CRLS1
NA	CRMP1
NA	CROT
NA	CRTAP
NA	CRTC1
NA	CRY1
NA	CRYAA
NA	CRYBA2
NA	CRYBA4
NA	CRYBB1
NA	CRYBB3
NA	CRYBG3
NA	CRYGB
NA	CRYGD
NA	CRYGS
NA	CRYL1
NA	CRYM
NA	CRYZL1
NA	CS
NA	CSAD
NA	CSDC2
NA	CSDE1
NA	CSE1L
NA	CSF1R
NA	CSF2
NA	CSF3
NA	CSGALNACT1
NA	CSH1
NA	CSH2
NA	CSHL1
NA	CSK
NA	CSN1S1
NA	CSNK1A1
NA	CSNK1A1L
NA	CSNK1G1
NA	CSNK1G2
NA	CSNK1G3
NA	CSNK2A1
NA	CSNK2B
NA	CSPP1
NA	CSRNP2
NA	CSRP1
NA	CSRP3
NA	CST11
NA	CST2
NA	CST3
NA	CST4
NA	CST5
NA	CST6
NA	CST8
NA	CSTF1
NA	CSTF2T
NA	CSTF3
NA	CT45A1
NA	CT62
NA	CTAGE4
NA	CTAGE5
NA	CTBP1
NA	CTBP2
NA	CTCF
NA	CTCFL
NA	CTDNEP1
NA	CTDSP1
NA	CTDSPL
NA	CTH
NA	CTHRC1
NA	CTLA4
NA	CTNNAL1
NA	CTPS1
NA	CTPS2
NA	CTR9
NA	CTRL
NA	CTSB
NA	CTSC
NA	CTSH
NA	CTSK
NA	CTSO
NA	CTSW
NA	CTTN
NA	CTU2
NA	CTXN3
NA	CUEDC2
NA	CUL1
NA	CUL4B
NA	CUX1
NA	CWC15
NA	CWC22
NA	CWF19L1
NA	CXADR
NA	CXCL10
NA	CXCL11
NA	CXCL12
NA	CXCL13
NA	CXCL6
NA	CXCR1
NA	CXCR6
NA	CXorf38
NA	CXorf40A
NA	CXorf40B
NA	CXorf56
NA	CXXC4
NA	CYB561D1
NA	CYB561D2
NA	CYB5A
NA	CYB5B
NA	CYB5D2
NA	CYB5R2
NA	CYB5R3
NA	CYCS
NA	CYFIP2
NA	CYHR1
NA	CYP1B1
NA	CYP24A1
NA	CYP26B1
NA	CYP26C1
NA	CYP27A1
NA	CYP27B1
NA	CYP27C1
NA	CYP2A6
NA	CYP2D6
NA	CYP2J2
NA	CYP2R1
NA	CYP2U1
NA	CYP2W1
NA	CYP4V2
NA	CYP51A1
NA	CYP7B1
NA	CYSLTR2
NA	CYTH1
NA	CYTH3
NA	CYTL1
NA	CYYR1
NA	D2HGDH
NA	DAD1
NA	DAND5
NA	DAP3
NA	DAPL1
NA	DARS2
NA	DAXX
NA	DAZ2
NA	DAZAP2
NA	DAZL
NA	DBNDD1
NA	DBNDD2
NA	DBNL
NA	DBT
NA	DCAF15
NA	DCAF16
NA	DCAF17
NA	DCAF4L1
NA	DCAF7
NA	DCAF8
NA	DCAKD
NA	DCBLD1
NA	DCBLD2
NA	DCD
NA	DCDC2
NA	DCLK1
NA	DCLRE1B
NA	DCP1A
NA	DCP2
NA	DCPS
NA	DCT
NA	DCTD
NA	DCTN2
NA	DCTN3
NA	DCTN5
NA	DCUN1D4
NA	DDA1
NA	DDAH1
NA	DDAH2
NA	DDHD2
NA	DDIT3
NA	DDIT4L
NA	DDOST
NA	DDR2
NA	DDRGK1
NA	DDX17
NA	DDX18
NA	DDX23
NA	DDX47
NA	DDX49
NA	DDX5
NA	DDX50
NA	DDX55
NA	DDX56
NA	DDX59
NA	DDX6
NA	DECR1
NA	DECR2
NA	DEDD2
NA	DEFB1
NA	DEFB105A
NA	DEFB113
NA	DEFB114
NA	DEFB116
NA	DEFB123
NA	DEFB124
NA	DEFB125
NA	DEFB128
NA	DEFB129
NA	DEFB132
NA	DEFB134
NA	DEFB136
NA	DEFB4A
NA	DEGS1
NA	DENND2D
NA	DENR
NA	DERL1
NA	DERL2
NA	DESI2
NA	DFFA
NA	DFFB
NA	DGAT1
NA	DGAT2
NA	DGCR6
NA	DGCR6L
NA	DGCR8
NA	DGKA
NA	DGUOK
NA	DHDH
NA	DHH
NA	DHODH
NA	DHPS
NA	DHRS1
NA	DHRS11
NA	DHRS12
NA	DHRS13
NA	DHRS2
NA	DHRS4
NA	DHRS7B
NA	DHRS9
NA	DHRSX
NA	DHX30
NA	DHX35
NA	DHX58
NA	DIABLO
NA	DIAPH3
NA	DIMT1
NA	DIO3
NA	DIRAS1
NA	DIRC1
NA	DIS3L
NA	DIS3L2
NA	DISC1
NA	DKK1
NA	DKK3
NA	DKKL1
NA	DLAT
NA	DLD
NA	DLEU7
NA	DLG1
NA	DLGAP4
NA	DLL3
NA	DLST
NA	DLX1
NA	DLX2
NA	DLX3
NA	DLX4
NA	DLX5
NA	DLX6
NA	DMAP1
NA	DMC1
NA	DMKN
NA	DMPK
NA	DMRTB1
NA	DMTF1
NA	DNAAF2
NA	DNAH14
NA	DNAJA4
NA	DNAJB11
NA	DNAJB14
NA	DNAJB2
NA	DNAJB4
NA	DNAJB9
NA	DNAJC1
NA	DNAJC10
NA	DNAJC11
NA	DNAJC12
NA	DNAJC13
NA	DNAJC14
NA	DNAJC15
NA	DNAJC22
NA	DNAJC25
NA	DNAJC27
NA	DNAJC28
NA	DNAJC30
NA	DNAJC4
NA	DNAJC5
NA	DNAJC5G
NA	DNAJC7
NA	DNAJC8
NA	DNAJC9
NA	DNAL1
NA	DNALI1
